ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,ps,total_share,float_share,free_share,total_mv,circ_mv
601328.SH,20070522,13.55,13.65,13.4,13.55,13.55,0,0,1047549.09,1413005.429,6.567,0.37,52.4014,5.8578,15.3586,4899438.37,159517.1,159517.1,66387389.92,2161456.705
601328.SH,20070523,13.63,13.71,13.5,13.59,13.55,0.04,0.3,1104079.11,1503034.199,6.9214,0.87,52.5561,5.8751,15.4039,4899438.37,159517.1,159517.1,66583367.45,2167837.389
601328.SH,20070524,13.58,13.79,13.35,13.47,13.59,-0.12,-0.88,1068313.01,1448361.462,6.6972,0.93,52.0921,5.8232,15.2679,4899438.37,159517.1,159517.1,65995434.85,2148695.337
601328.SH,20070525,13.38,13.6,13.33,13.4,13.47,-0.07,-0.52,766261.05,1028588.678,4.8036,0.68,51.8214,5.793,15.1885,4899438.37,159517.1,159517.1,65652474.16,2137529.14
601328.SH,20070528,13.4,13.58,13.37,13.52,13.4,0.12,0.9,947222,1274377.721,5.9381,0.91,52.2854,5.8448,15.3246,4899438.37,159517.1,159517.1,66240406.77,2156671.192
601328.SH,20070529,13.6,13.67,13.46,13.55,13.52,0.03,0.22,1025616.18,1388727.726,6.4295,1.04,52.4014,5.8578,15.3586,4899438.37,159517.1,159517.1,66387389.92,2161456.705
601328.SH,20070530,13,13.4,12.58,12.78,13.55,-0.77,-5.68,1368146.36,1780021.496,8.5768,1.39,49.4237,5.5249,14.4858,4899438.37,159517.1,159517.1,62614822.37,2038628.538
601328.SH,20070531,12.8,13.58,12.52,13.37,12.78,0.59,4.62,1223318.73,1606427.653,7.6689,1.18,51.7053,5.78,15.1545,4899438.37,159517.1,159517.1,65505491.01,2132743.627
601328.SH,20070601,13.4,13.57,12.94,13.01,13.37,-0.36,-2.69,946525.83,1253720.686,5.9337,0.89,50.3131,5.6244,14.7465,4899438.37,159517.1,159517.1,63741693.2,2075317.471
601328.SH,20070604,13.03,13.16,11.75,11.86,13.01,-1.15,-8.84,891032.93,1102442.804,5.5858,0.81,45.8658,5.1272,13.443,4899438.37,159517.1,159517.1,58107339.07,1891872.806
601328.SH,20070605,11.86,12.28,11.02,12.22,11.86,0.36,3.04,707223.88,834115.288,4.4335,0.65,47.258,5.2828,13.851,4899438.37,159517.1,159517.1,59871136.89,1949298.962
601328.SH,20070606,12.3,12.37,12,12.13,12.22,-0.09,-0.74,444915.28,541999.404,2.7891,0.43,46.9099,5.2439,13.749,4899438.37,159517.1,159517.1,59430187.43,1934942.423
601328.SH,20070607,12.16,12.24,12.1,12.19,12.13,0.06,0.49,467239.74,567739.852,2.9291,0.55,47.142,5.2699,13.817,4899438.37,159517.1,159517.1,59724153.73,1944513.449
601328.SH,20070608,12.2,12.25,11.94,12.21,12.19,0.02,0.16,614050.61,743017.228,3.8494,0.89,47.2193,5.2785,13.8397,4899438.37,159517.1,159517.1,59822142.5,1947703.791
601328.SH,20070611,12.22,12.28,12.04,12.19,12.21,-0.02,-0.16,445713.95,542809.489,2.7941,0.71,47.142,5.2699,13.817,4899438.37,159517.1,159517.1,59724153.73,1944513.449
601328.SH,20070612,12.18,12.18,11.82,12.02,12.19,-0.17,-1.39,607127.19,727017.939,3.806,1.13,46.4845,5.1964,13.6243,4899438.37,159517.1,159517.1,58891249.21,1917395.542
601328.SH,20070613,12.04,12.49,12.01,12.42,12.02,0.4,3.33,903618.83,1107809.308,5.6647,1.75,48.0314,5.3693,14.0777,4899438.37,159517.1,159517.1,60851024.56,1981202.382
601328.SH,20070614,12.34,12.34,12.05,12.07,12.42,-0.35,-2.82,414490.64,504172.911,2.5984,0.68,46.6779,5.218,13.681,4899438.37,159517.1,159517.1,59136221.13,1925371.397
601328.SH,20070615,12,12.36,11.93,12.16,12.07,0.09,0.75,408524,496279.643,2.561,0.68,47.0259,5.2569,13.783,4899438.37,159517.1,159517.1,59577170.58,1939727.936
601328.SH,20070618,12.3,12.55,12.18,12.32,12.16,0.16,1.32,703299.31,870201.107,4.4089,1.27,47.6447,5.3261,13.9644,4899438.37,159517.1,159517.1,60361080.72,1965250.672
601328.SH,20070619,12.2,12.37,12.09,12.15,12.32,-0.17,-1.38,457676.12,557257.854,2.8691,0.75,46.9873,5.2526,13.7717,4899438.37,159517.1,159517.1,59528176.2,1938132.765
601328.SH,20070620,12.17,12.2,11.86,11.87,12.15,-0.28,-2.3,517022.39,621530.495,3.2412,0.9,45.9044,5.1315,13.4543,4899438.37,159517.1,159517.1,58156333.46,1893467.977
601328.SH,20070621,11.86,12.1,11.76,11.94,11.87,0.07,0.59,455693.7,542446.373,2.8567,0.91,46.1751,5.1618,13.5337,4899438.37,159517.1,159517.1,58499294.14,1904634.174
601328.SH,20070622,11.97,12.1,11.52,11.63,11.94,-0.31,-2.6,451170.6,531134.899,2.8284,0.89,44.9763,5.0278,13.1823,4899438.37,159517.1,159517.1,56980468.25,1855183.873
601328.SH,20070625,11.7,11.87,11.22,11.31,11.63,-0.32,-2.75,422339.3,487844.721,2.6476,0.82,43.7388,4.8894,12.8196,4899438.37,159517.1,159517.1,55412647.97,1804138.401
601328.SH,20070626,11.2,11.47,11.15,11.38,11.31,0.07,0.62,268421.4,302808.002,1.6827,0.58,44.0095,4.9197,12.8989,4899438.37,159517.1,159517.1,55755608.65,1815304.598
601328.SH,20070627,11.45,11.8,11.28,11.69,11.38,0.31,2.72,396121.93,457224.2,2.4833,0.94,45.2083,5.0537,13.2503,4899438.37,159517.1,159517.1,57274434.55,1864754.899
601328.SH,20070628,11.7,11.87,11.2,11.22,11.69,-0.47,-4.02,432812.9,498878.96,2.7133,1.09,43.3907,4.8505,12.7176,4899438.37,159517.1,159517.1,54971698.51,1789781.862
601328.SH,20070629,11.09,11.28,10.91,10.99,11.22,-0.23,-2.05,462780.87,511550.414,2.9011,1.17,42.5012,4.7511,12.4569,4899438.37,159517.1,159517.1,53844827.69,1753092.929
601328.SH,20070702,11.01,11.14,10.8,11.03,10.99,0.04,0.36,229992.78,251792.29,1.4418,0.58,42.6559,4.7684,12.5022,4899438.37,159517.1,159517.1,54040805.22,1759473.613
601328.SH,20070703,11.05,11.17,10.92,11.09,11.03,0.06,0.54,224832.37,249040.202,1.4095,0.63,42.888,4.7943,12.5702,4899438.37,159517.1,159517.1,54334771.53,1769044.639
601328.SH,20070704,11.2,11.33,11.01,11.08,11.09,-0.01,-0.09,219112.31,244986.581,1.3736,0.63,42.8493,4.79,12.5589,4899438.37,159517.1,159517.1,54285777.14,1767449.468
601328.SH,20070705,11.03,11.03,10.43,10.45,11.08,-0.63,-5.69,271712.56,291036.146,1.7033,0.87,40.4129,4.5176,11.8448,4899438.37,159517.1,159517.1,51199130.97,1666953.695
601328.SH,20070706,10.48,10.84,10.37,10.8,10.45,0.35,3.35,284255,301120.564,1.782,1.01,41.7665,4.6689,12.2415,4899438.37,159517.1,159517.1,52913934.4,1722784.68
601328.SH,20070709,10.83,10.97,10.67,10.88,10.8,0.08,0.74,234300.97,254117.984,1.4688,0.95,42.0758,4.7035,12.3322,4899438.37,159517.1,159517.1,53305889.47,1735546.048
601328.SH,20070710,10.95,11.29,10.82,11.03,10.88,0.15,1.38,428581.41,476353.324,2.6867,1.74,42.6559,4.7684,12.5022,4899438.37,159517.1,159517.1,54040805.22,1759473.613
601328.SH,20070711,11,11.18,10.88,11.08,11.03,0.05,0.45,183938.29,203406.12,1.1531,0.64,42.8493,4.79,12.5589,4899438.37,159517.1,159517.1,54285777.14,1767449.468
601328.SH,20070712,11.09,11.25,11.02,11.12,11.08,0.04,0.36,209533.21,233631.503,1.3135,0.75,43.004,4.8073,12.6042,4899438.37,159517.1,159517.1,54481754.68,1773830.152
601328.SH,20070713,11.13,11.15,10.91,10.97,11.12,-0.15,-1.35,120416.28,132187.677,0.7549,0.45,42.4239,4.7424,12.4342,4899438.37,159517.1,159517.1,53746838.92,1749902.587
601328.SH,20070716,10.98,11.16,10.9,10.91,10.97,-0.06,-0.55,135699.49,149555.928,0.8507,0.58,42.1919,4.7165,12.3662,4899438.37,159517.1,159517.1,53452872.62,1740331.561
601328.SH,20070717,10.9,11.4,10.88,11.29,10.91,0.38,3.48,354412.63,398866.762,2.2218,1.64,43.6614,4.8808,12.7969,4899438.37,159517.1,159517.1,55314659.2,1800948.059
601328.SH,20070718,11.23,11.61,11.23,11.4,11.29,0.11,0.97,439982.43,503303.172,2.7582,2.19,44.0868,4.9283,12.9216,4899438.37,159517.1,159517.1,55853597.42,1818494.94
601328.SH,20070719,11.41,11.42,11.25,11.29,11.4,-0.11,-0.96,171009.09,193696.025,1.072,0.68,43.6614,4.8808,12.7969,4899438.37,159517.1,159517.1,55314659.2,1800948.059
601328.SH,20070720,11.29,11.78,11.25,11.7,11.29,0.41,3.63,510987.37,592215.307,3.2033,2.09,45.247,5.058,13.2616,4899438.37,159517.1,159517.1,57323428.93,1866350.07
601328.SH,20070723,11.83,12.09,11.8,11.9,11.7,0.2,1.71,713999.75,852528.378,4.476,2.21,46.0205,5.1445,13.4883,4899438.37,159517.1,159517.1,58303316.61,1898253.49
601328.SH,20070724,11.95,12.02,11.78,11.82,11.9,-0.08,-0.67,385459.82,458334.822,2.4164,0.88,45.7111,5.1099,13.3977,4899438.37,159517.1,159517.1,57911361.54,1885492.122
601328.SH,20070725,11.81,12.89,11.73,12.68,11.82,0.86,7.28,765226.44,938397.013,4.7971,1.72,49.0369,5.4817,14.3724,4899438.37,159517.1,159517.1,62124878.54,2022676.828
601328.SH,20070726,12.55,12.82,12.41,12.55,12.68,-0.13,-1.03,675152.86,851988.233,4.2325,1.33,48.5342,5.4255,14.2251,4899438.37,159517.1,159517.1,61487951.55,2001939.605
601328.SH,20070727,12.43,12.53,12.26,12.41,12.55,-0.14,-1.12,431123.42,533557.473,2.7027,0.71,47.9928,5.365,14.0664,4899438.37,159517.1,159517.1,60802030.18,1979607.211
601328.SH,20070730,12.35,12.56,12.3,12.46,12.41,0.05,0.4,377605.6,470511.198,2.3672,0.64,48.1861,5.3866,14.1231,4899438.37,159517.1,159517.1,61047002.09,1987583.066
601328.SH,20070731,12.41,12.42,12.08,12.28,12.46,-0.18,-1.44,412828.91,505999.811,2.588,0.78,47.49,5.3088,13.9191,4899438.37,159517.1,159517.1,60165103.19,1958869.988
601328.SH,20070801,12.31,12.58,11.8,11.83,12.28,-0.45,-3.66,468665.72,571272.635,2.938,0.88,45.7497,5.1142,13.409,4899438.37,159517.1,159517.1,57960355.92,1887087.293
